MF,CODIGO,DESCRIPCION,APLICACIÓN,PRECIO VENTA,CANTIDAD,NOTAS,TIPO REPUESTO,MARCA REPUESTO,MARCA AUTO,PRECIO
286V5,BD125277,DISCO DELANTERO DE FRENOS,"BMW 318i 93-98, 323i 99-00, 325i 92-95",Q482.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,BMW,
300S5,BD125392,DISCO TRASERO DE FRENOS,"BMW 525i 89-95, 530it 93 530i 94-95 535i 89-93",Q490.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,BMW,
298V5,BD125520,DISCO TRASERO DE FRENOS,BMW 525i 01-03 528i 97-00 530i 01-03 540i 97-03,Q593.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,BMW,
287S5,BD125538,DISCO DELANTERO DE FRENOS,BMW 318ti 95-99 Z3 96-98,Q304.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,BMW,
277V5,BD125574,DISCO TRASERO DE FRENOS,BMW 320i 01-05 323ci 00 323i 99-00,Q308.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,BMW,
272V5,BD125607,DISCO TRASERO DE FRENOS,BMW M3 95-99 Z3 96-02,Q797.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,BMW,
300V5,BD126233,DISCO DELANTERO DE FRENOS,BMW 320I 01-05 323Ci 00 325Ci 01/06 325I 01-05,Q467.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,BMW,
325V5,BD126234,DISCO DELANTERO DE FRENOS,BMW 328i 99-00 330CI 01-06 330I 01-05 33XI 01-05,Q539.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,BMW,
332V5,BD126235,DISCO DELANTERO DE FRENOS,BMW X5 00-06 MOTOR 4.4 y 3.0,"Q1,209.00",6,4 JOEL,DISCOS DE FRENOS,WAGNER,BMW,
325V5,BD126526,DISCO DELANTERO DE FRENOS,BMW X3 04-10,Q672.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,BMW,
324S5,BD126528,DISCO TRASERO DE FRENOS,BMW X5 00-06,Q772.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,BMW,
248V4,BD125002,DISCO DELANTERO DE FRENOS,CHEVROLET GEO STORM 90-93,Q251.00,1,1 JOEL,DISCOS DE FRENOS,WAGNER,CHEVROLET,
295V5,BD125050,DISCO DELANTERO DE FRENOS,CHEVROLET ASTRO 90-02 4WD GMC SAFARI 90-02,Q544.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,CHEVROLET,
303V5,BD125171,DISCO DELANTERO DE FRENOS,CHEVROLET ASTRO 90-02 2WD GMC SAFARI 90-02,Q615.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,CHEVROLET,
295V5Bufa,BD125206,DISCO DELANTERO DE FRENOS,"CHEVROLET SUBURBAN C1500 92-99, TAHOE 95-00,",Q704.00,1,1 JOEL,DISCOS DE FRENOS,WAGNER,CHEVROLET,
280V5,BD125325,DISCO DELANTERO DE FRENOS,"CHEVROLET LUMINA APV 95-96, CAMARO 95-97",Q298.00,3,3 JOEL,DISCOS DE FRENOS,WAGNER,CHEVROLET,
295V5,BD125341,DISCO TRASERO DE FRENOS,CHEVROLET CAMARO 95-97,Q515.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,CHEVROLET,
256V5,BD125400,DISCO TRASERO DE FRENOS,CHEVROLET LUMINA 95-00,Q190.00,6,6 JOEL,DISCOS DE FRENOS,WAGNER,CHEVROLET,
285V5,BD125470,DISCO DELANTERO DE FRENOS,CHEVROLET LUMINA SEDÁN 95-01,Q310.00,6,6 JOEL,DISCOS DE FRENOS,WAGNER,CHEVROLET,
279V5,BD125507E,DISCO DELANTERO DE FRENOS,CHEVROLET VENTURE 97-01,Q478.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,CHEVROLET,
275V5,BD125559,DISCO DELANTERO DE FRENOS,"CHEVROLET BLAZER 96-05 4WD, S10 98-04",Q418.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,CHEVROLET,
297V5,BD125577,DISCO TRASERO DE FRENOS,"CHEVROLET BLAZER 2WD 98-05, S10 03-04",Q461.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,CHEVROLET,
297V6 BUFA,BD125592,DISCO DELANTERO DE FRENOS,CHEVROLET PICK-UP 2500 95-98,Q797.00,1,1 JOEL,DISCOS DE FRENOS,WAGNER,CHEVROLET,
305V5,BD125594,DISCO TRASERO DE FRENOS,CHEVROLET CAMARO 98-02,Q402.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,CHEVROLET,
302V5,BD125618,DISCO DELANTERO DE FRENOS,CHEVROLET CAMARO 98-02,Q718.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,CHEVROLET,
305V6,BD125654E,DISCO DELANTERO DE FRENOS,"CHEVROLET ASTRO 03-05, AVALANCHE 1500 02-06",Q482.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,CHEVROLET,
330V8,BD125657E,DISCO TRASERO DE FRENOS 8 HOYOS,CHEVROLET AVALANCHE 2500 02-06,Q835.00,6,4 JOEL 2 MARTI,DISCOS DE FRENOS,WAGNER,CHEVROLET,
300V5,BD125775,DISCO DELANTERO DE FRENOS,CHEVROLET VENTURE AWD 02-05,Q746.00,2,1 JOEL 1 DEISY,DISCOS DE FRENOS,WAGNER,CHEVROLET,
325V6,BD126028E,DISCO DELANTERO DE FRENOS,"CHEVROLET TRAIL BLAZER 02-08, ENVOY 02-09",Q651.00,1,1 JOEL,DISCOS DE FRENOS,WAGNER,CHEVROLET,
295V5,BD126102E,DISCO DELANTERO DE FRENOS,CHEVROLET EQUINOX 05-06; PONTIAC TORRENT 06,Q507.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,CHEVROLET,
281V6,BD126137,DISCO DELANTERO DE FRENOS,CHEVROLET COLORADO 04-08; GMC CANYON 04-08,Q350.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,CHEVROLET,
258S4,BD126259,DISCO TRASERO DE FRENOS,CHEVROLET OPTRA 04-07; SUZUKI FORENZA 04-08,Q704.00,1,1 JOEL,DISCOS DE FRENOS,WAGNER,CHEVROLET,
302V6,BD126446E,DISCO DELANTERO DE FRENOS,CHEVROLET TRAILBLAZER 06-09,Q530.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,CHEVROLET,
267V5 BUFA,BD60627,DISCO DELANTERO DE FRENOS,"CHEVROLET S10 82-95 2WD, Blazer 83-90 2WD",Q439.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,CHEVROLET,
256S5,BD61851,DISCO TRASERO DE FRENOS G,CHEVROLET LUMINA SEDAN 90-94; BUICK REGAL 88-93,Q162.00,6,6 JOEL,DISCOS DE FRENOS,WAGNER,CHEVROLET,
280V5,BD125156,DISCO DELANTERO DE FRENOS,DODGE CARAVAN <-95,Q308.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,DODGE,
296V5,BD125388,DISCO DELANTERO DE FRENOS,DODGE RAM 1500 94-99 4WD,Q421.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,DODGE,
295V5 BUFA,BD125390,DISCO DELANTERO DE FRENOS,DODGE RAM 1500 94-98,Q808.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,DODGE,
242V4,BD125397,DISCO DELANTERO DE FRENOS,DODGE NEÓN 95-97 4 ESP,Q155.00,1,1 JOEL,DISCOS DE FRENOS,WAGNER,DODGE,
270S5,BD125419,DISCO TRASERO DE FRENOS,"DODGE NEÓN 95-02, PT CRUISER 01-06",Q213.00,6,6 JOEL,DISCOS DE FRENOS,WAGNER,DODGE,
290S5,BD125537E,DISCO TRASERO DE FRENOS,DODGE CARAVAN 00-07,Q469.00,1,1 JOEL,DISCOS DE FRENOS,WAGNER,DODGE,
305V5,BD125744,DISCO DELANTERO DE FRENOS,DODGE RAM 1500 00-01,Q741.00,1,1 JOEL,DISCOS DE FRENOS,WAGNER,DODGE,
327V8,BD125745,DISCO DELANTERO DE FRENOS,DODGE RAM DODGE RAM 2500. 3500,Q716.00,6,5 JOEL 1 MARTI 50% SI,DISCOS DE FRENOS,WAGNER,DODGE,
280V5,BD125768,DISCO DELANTERO DE FRENOS,DODGE GRAND CARAVAN 01-05 R/DISC,Q412.00,2,2 MARTI,DISCOS DE FRENOS,WAGNER,DODGE,
307V6,BD126041,DISCO DELANTERO DE FRENOS,DODGE DURANGO 03,Q615.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,DODGE,
330V5,BD180436E,DISCO TRASERO DE FRENOS,"DODGE DURANGO 2011-2021, JEEP GRAND CHEROKE 2011-2021",Q480.00,1,,DISCOS DE FRENOS,WAGNER,DODGE,
256V5,BD126483,DISCO TRASERO DE FRENOS,DODGE CARAVAN 08-10,Q701.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,DODGE,
280V5,BD126035,DISCO DELANTERO DE FRENOS,"CHRYSLER PT CRUISER 03-06, DODGE NEON 03-05",Q469.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,CHRYSLER,
,BD125481,DISCO DE FRENO TRASERO,FORD CROWN VICTORIA 92-02,Q160.00,1,,DISCOS DE FRENOS,WAGNER,FORD,
260V5,BD125109,DISCO DELANTERO DE FRENOS,FORD AEROSTAR <-97 AWD,Q253.00,6,6 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
258V5,BD125328,DISCO TRASERO DE FRENOS,FORD TAURUS 93-07; MERCURY SABLE 93-05,Q272.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
267S5,BD125406,DISCO TRASERO DE FRENOS,FORD MUSTANG 95-04,Q389.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
260V4,BD125428,DISCO DELANTERO DE FRENOS,FORD CONTOUR 95-00; MERCURY COUGAR 99-02,Q333.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
284S5,BD125461,DISCO TRASERO DE FRENOS,FORD WINDSTAR 95-03,Q292.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
285V5 BUFA,BD125498,DISCO DELANTERO DE FRENOS,FORD RANGER 95-97 4WD ABS,Q521.00,7,5 JOEL 2 MARTI,DISCOS DE FRENOS,WAGNER,FORD,
307V5,BD125512E,DISCO DELANTERO DE FRENOS,FORD F150 4WD 97-03,Q410.00,1,,DISCOS DE FRENOS,WAGNER,FORD,
310V7,BD125529,DISCO DELANTERO DE FRENOS,FORD F250 4WD 97-99,Q453.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
335S7,BD125530,DISCO TRASERO DE FRENOS,FORD F250 97-99,Q581.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
326V8,BD125660E,DISCO TRASERO DE FRENOS,FORD F250 F350 SD 99-04,Q626.00,1,1 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
280V5,BD125678,DISCO DELANTERO DE FRENOS BR54070,FORD WINDSTAR 99-03,Q388.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
260V5 BUFA,BD125683,DISCO DELANTERO DE FRENOS,"FORD RANGER 2WD 98-04 10 9/32""",Q536.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
310V7 BUFA,BD125706,DISCO DELANTERO DE FRENOS,FORD F250 2WD 97-99,Q809.00,1,1 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
277V5 BUFA,BD125713,DISCO DELANTERO DE FRENOS,FORD Ranger 4WD 93-94,Q582.00,6,4 JOEL 2 MARTI,DISCOS DE FRENOS,WAGNER,FORD,
305V5,BD125721,DISCO DELANTERO DE FRENOS,FORD EXPLORER SPORT TRACK 01-05 4WD,Q658.00,1,1 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
305V5,BD125758,DISCO DELANTERO DE FRENOS,FORD EXPLORER 02-05,Q390.00,3,3 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
287V5 BUFA,BD125773,DISCO DELANTERO DE FRENOS,FORD RANGER 2WD 98-05,Q788.00,4,2 JOEL 2 PETAPA,DISCOS DE FRENOS,WAGNER,FORD,
260V5 BUFA,BD125777,DISCO DELANTERO DE FRENOS,FORD RANGER 2WD 01-05,Q548.00,1,1 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
307V4,BD125787,DISCO DELANTERO DE FRENOS,FORD FOCUS SVT 02-04,Q531.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
310V5 BUFA,BD126005E,DISCO DELANTERO DE FRENOS,FORD Expedition 2WD 00-02,Q981.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
253S4,BD126006,DISCO TRASERO DE FRENOS,FOCUS 00-07,Q249.00,5,5 JOEL,DISCOS DE FRENOS,WAGNER,FOCUS,
300S5,BD126031,DISCO TRASERO DE FRENOS,"FORD Explorer 03, Sport Trac 03-05",Q449.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
347V7,BD126117,DISCO TRASERO DE FRENOS,FORD F150 04-11,"Q1,064.00",2,2 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
305S5,BD126120E,DISCO TRASERO DE FRENOS,FORD Escape 05-11,Q361.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
277V4,BD126184,DISCO DELANTERO DE FRENOS,FORD Focus 05-06,Q584.00,5,5 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
293V5,BD126198E,DISCO DELANTERO DE FRENOS,FORD MUSTANG 05-09,Q578.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
347V8,BD126272,DISCO DELANTERO DE FRENOS,FORD F250/350SD 4WD 05-13,1.033.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
296V5,BD126429,DISCO DELANTERO DE FRENOS,FORD EDGE 07-09 MAZDA CX-7 07-12,Q820.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
296V5,BD126429,DISCO DELANTERO DE FRENOS,FORD EDGE 07-09 MAZDA CX-7 07-12,Q930.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
302V5,BD126430,DISCO TRASERO DE FRENOS 302MM,FORD EDGE 07-10,Q575.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
320V5,BD126432,DISCO DELANTERO DE FRENOS 320MM,FORD EDGE AWD 07-13,Q733.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
275V4,BD126451,DISCO DELANTERO DE FRENOS,FORD FOCUS 08-10,Q786.62,2,2 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
277V5 BUFA,BD60693,DISCO DELANTERO DE FRENOS,FORD RANGER 95-96 4WD,Q415.00,3,2 JOEL 1 MAY0R,DISCOS DE FRENOS,WAGNER,FORD,
261V5 BUFA,BD61911,DISCO DELANTERO DE FRENOS SIN ABS,"FORD EXPLORER 91-99, NAVAJO 92 2WD",Q493.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,FORD,
276V5,BD126067,DISCO DELANTERO DE FRENOS,HYUNDAI SANTA FE 01-04,Q398.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,HYUNDAI,
294V5,BD126068E,DISCO DELANTERO DE FRENOS,HYUNDAI SANTA FE 02-06,Q382.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,HYUNDAI,
280V5,BD126141,DISCO DELANTERO DE FRENOS 51712-3K000,"HYUNDAI TUCSON, SPORTAGE 05-11",Q406.00,1,,DISCOS DE FRENOS,WAGNER,HYUNDAI,
256V4,BD180495,DISCO DELANTERO DE FRENOS 51712-1R000,"HYUNDAI ACCENT/RIO 11-> Q1,069.00",Q800.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,HYUNDAI,
258S5,BD126202,DISCO TRASERO DE FRENOS,HYUNDAI TIBURON 03-08,Q611.00,2,2 JOEL SI ESTA,DISCOS DE FRENOS,WAGNER,HYUNDAI,
262S4,BD126459,DISCO TRASERO DE FRENOS,"HYUNDAI RIO 06-10, ACCENT 06-07",Q502.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,HYUNDAI,
298V5,BD126511,DISCO DELANTERO DE FRENOS,HYUNDAI SANTA FE 07-09 ver SBC,Q689.00,,,DISCOS DE FRENOS,WAGNER,HYUNDAI,
280V5,BD180377E,DISCO DELANTERO DE FRENOS 51712-3X000,"HYUNDAI ELANTRA 11-15, VELOSTER 12-15",Q601.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,HYUNDAI,
262S5,BD180378E,DISCO TRASERO DE FRENOS,"HYUNDAI ELANTRA 11-15, VELOSTER 12-15",Q342.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,HYUNDAI,
257V4,BD61968,DISCO DELANTERO DE FRENOS,HYUNDAI SONATA 89-97,Q226.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,HYUNDAI,
302S5,BD180392E,DISCO TRASERO DE FRENOS,"HYUNDAI SANTA FE 10-18, SANTA FE SPORT 13-18",Q559.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,HYUNDAI,
265S6,BD61973,DISCO TRASERO DE FRENOS,ISUZU PICK-UP <-95,Q265.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,ISUZU,
287S5,BD125396,DISCO TRASERO DE FRENOS,JEEP GRAND CHEROKEE 95-98,Q269.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,JEEP,
305V5,BD125693E,DISCO DELANTERO DE FRENOS,JEEP GRAND CHEROKEE 99-04,Q534.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,JEEP,
280V5,BD125716,DISCO DELANTERO DE FRENOS,"JEEP CHEROKEE 99-01, WRANGLER 99-06",Q380.00,1,1 JOEL,DISCOS DE FRENOS,WAGNER,JEEP,
288V5,BD126012E,DISCO DELANTERO DE FRENOS,JEEP LIBERTY 02-06,Q419.00,6,6 JOEL,DISCOS DE FRENOS,WAGNER,JEEP,
328V5,BD126298,DISCO DELANTERO DE FRENOS,JEEP GRAND CHEROKEE 05-10,Q497.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,JEEP,
350V5,BD126419,DISCO TRASERO DE FRENOS,JEEP GRAND CHEROKEE 06-10,Q833.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,JEEP,
316S5,BD126472E,DISCO TRASERO DE FRENOS,JEEP LIBERTY 08-12,Q714.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,JEEP,
360V5,BD126507,DISCO DELANTERO DE FRENOS,"JEEP GRAND CHEROKEE V8 6.1 06, SRT8 07-10","Q1,018.00",2,2 JOEL,DISCOS DE FRENOS,WAGNER,JEEP,
330V5,BD180433,DISCO DELANTERO DE FRENOS,JEEP GRAND CHEROKEE R17 11-18,Q874.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,JEEP,
260S4,BD125791,DISCO TRASERO DE FRENOS,KIA SPECTRA 00-04,Q501.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,KIA,
258V4,BD126160,DISCO DELANTERO DE FRENOS,"KIA SEPHIA 00-01, SPECTRA 00-04",Q507.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,KIA,
254V4,BD126162,DISCO DELANTERO DE FRENOS,KIA RIO 02-05,Q318.00,1,1 JOEL,DISCOS DE FRENOS,WAGNER,KIA,
277V5,BD126439,DISCO DELANTERO DE FRENOS,KIA Sedona 04-05,Q374.00,1,1 JOEL,DISCOS DE FRENOS,WAGNER,KIA,
302S6,BD126441,DISCO TRASERO DE FRENOS,KIA SEDONA 06-14,Q590.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,KIA,
256V4,BD126461E,DISCO DELANTERO DE FRENOS ver KENICHI,KIA RIO-ACCENT 06-11,Q431.00,3,1 JOEL 2 MARTI,DISCOS DE FRENOS,WAGNER,KIA,
300V5,BD180376,DISCO DELANTERO DE FRENOS,KIA SORENTO 11-13 HYUNDAY SANTA FE 10-12,Q764.00,4,2 JOEL 2 ZONA 9,DISCOS DE FRENOS,WAGNER,KIA,
302S5,BD180392E,DISCO TRASERO DE FRENOS,"KIA SORENTO 11-17, SEDONA15-16; SANTA FE 10-18",Q559.00,4,4 JOEL 2 ZONA 9,DISCOS DE FRENOS,WAGNER,KIA,
280V5,BD125227,DISCO DELANTERO DE FRENOS,MAZDA MPV 92-95,Q412.00,1,1 JOEL,DISCOS DE FRENOS,WAGNER,MAZDA,
256V5,BD125252,DISCO DELANTERO DE FRENOS,MAZDA MPV 2WD 92-93,Q612.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,MAZDA,
277V5,BD125542,DISCO DELANTERO DE FRENOS GV52125542,MAZDA MPV 96-98,Q451.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,MAZDA,
275V5,BD125675,DISCO DELANTERO DE FRENOS,MAZDA 626 2.5L 98-02,Q310.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,MAZDA,
258V4,BD126076E,DISCO DELANTERO DE FRENOS BJ1Y-33-25XP,MAZDA PROTEGE 99-03,Q349.00,1,1 JOEL,DISCOS DE FRENOS,WAGNER,MAZDA,
283V5,BD126078,DISCO DELANTERO DE FRENOS,MAZDA Mazda 6 03-05,Q582.00,8,6 JOEL 2 MARTI,DISCOS DE FRENOS,WAGNER,MAZDA,
278V5,BD126325E,DISCO DELANTERO DE FRENOS ver SBC,"MAZDA MAZDA 3 2.0L 04-13, MAZDA 3 SPORT 09-13",Q400.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,MAZDA,
300V5,BD126328,DISCO DELANTERO DE FRENOS,MAZDA Mazda 3 2.3L 2.5 04-09 MAZDA 5 06-17,Q485.00,6,6 JOEL,DISCOS DE FRENOS,WAGNER,MAZDA,
299V5,BD126344,DISCO DELANTERO DE FRENOS,MAZDA Mazda 6 06-10,Q829.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,MAZDA,
320V5,BD126497,DISCO DELANTERO DE FRENOS,MAZDA SPEED 2.3 4L 3 07-12,Q665.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,MAZDA,
258V4,BD180415E,DISCO DELANTERO DE FRENOS,MAZDA 2 11->,Q405.00,1,1 JOEL,DISCOS DE FRENOS,WAGNER,MAZDA,
277V6,BD61787,DISCO DELANTERO DE FRENOS,MAZDA B2600 87-2002,Q266.00,9,7 JOEL 2 MARTI,DISCOS DE FRENOS,WAGNER,MAZDA,
236V5,BD61830,DISCO DELANTERO DE FRENOS,MAZDA 626 88-92,Q236.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,MAZDA,
256V4,BD61992E,DISCO DELANTERO DE FRENOS,"MAZDA 323 90-94 DOHC, ESCORT 95-02",Q309.00,2,2 MARTI,DISCOS DE FRENOS,WAGNER,MAZDA,
276V6,BD125307,DISCO DELANTERO DE FRENOS 24MM GROSOR MB618716,"MITSUBISHI  MONTERO 92-96., L200 02-05",Q304.00,14,12 JOEL 2 MARTI,DISCOS DE FRENOS,WAGNER,MITSUBISHI,
275V6,BD125515,DISCO DELANTERO DE FRENOS 27MM GROSOR,MITSUBISHI MONTERO 94-00,Q400.00,1,1 JOEL,DISCOS DE FRENOS,WAGNER,MITSUBISHI,
256V4,BD126133E,DISCO DELANTERO DE FRENOS R15 69MM CENTRO MR389722,MITSUBISHI LANCER 02-07,Q262.00,1,1 JOEL,DISCOS DE FRENOS,WAGNER,MITSUBISHI,
300V6,BD126237,DISCO TRASERO DE FRENOS,MITSUBISHI MONTERO 01-06,Q393.00,8,6 JOEL,DISCOS DE FRENOS,WAGNER,MITSUBISHI,
290V5,BD126332,DISCO DELANTERO DE FRENOS,MITSUBISHI ENDEAVOR 04-09,Q442.00,5,5 JOEL,DISCOS DE FRENOS,WAGNER,MITSUBISHI,
302S5,BD126333,DISCO TRASERO DE FRENOS,MITSUBISHI ENDEAVOR 04-09,Q338.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,MITSUBISHI,
261S5,BD126334,DISCO TRASERO DE FRENOS,"MITSUBISHI GALANT 04-12, ECLIPSE 06-12",Q448.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,MITSUBISHI,
302S5,BD126574E,DISCO TRASERO DE FRENOS,"MITSUBISHI LANCER 08-16, OUTLANDER SPORT 11-12",Q491.00,1,1 JOEL,DISCOS DE FRENOS,WAGNER,MITSUBISHI,
302S5,BD180048E,DISCO TRASERO DE FRENOS,"MITSUBISHI OUTLANDER V6 07-11, LANCER 09-14",Q429.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,MITSUBISHI,
294V5,BD180414,DISCO DELANTERO DE FRENOS,MITSUBISHI LANCER 10-11,Q483.00,8,6 JOEL 2 MARTI,DISCOS DE FRENOS,WAGNER,MITSUBISHI,
258V6,BD61797,DISCO DELANTERO DE FRENOS,MITSUBISHI L200 87-99 2WD BR3282 /7927R RABESTO,Q234.00,3,1 JOEL 2 PETAPA,DISCOS DE FRENOS,WAGNER,MITSUBISHI,
255V4,BD61828,DISCO DELANTERO DE FRENOS BD125798,"MITSUBISHI GALANT 88-97, SPACE WAGON 92-95",Q293.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,MITSUBISHI,
280V4,BD125321,DISCO DELANTERO DE FRENOS 40206-73L01/ 55F01,"NISSAN ALTIMA 93-01, SENTRA 00-02",Q362.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,NISSAN,
260V6,BD125563,DISCO DELANTERO DE FRENOS 40206-2S400,NISSAN FRONTIER 2WD 98-04,Q309.00,2,2 MARTI,DISCOS DE FRENOS,WAGNER,NISSAN,
247V4,BD125626,DISCO DELANTERO DE FRENOS 40206-8B700,"NISSAN SENTRA ALMERA 1.6 B14 98-99 SE, GXE, GLE",Q205.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,NISSAN,
290V5,BD126096,DISCO DELANTERO DE FRENOS 40206-CK000,NISSAN QUEST 04-14,Q505.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,NISSAN,
296V6,BD126303E,DISCO DELANTERO DE FRENOS 40206-EA00A,NISSAN PATHFINDER 05-12 980370,Q463.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,NISSAN,
320S6,BD126387,DISCO TRASERO DE FRENOS 43206-7S000/ 9FF00,"NISSAN PATHFINDER 04, ARMADA 05-11, TITAN 04-11",Q839.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,NISSAN,
280V4,BD126532,DISCO DELANTERO DE FRENOS 40206-ET00C/ ET00A,NISSAN VERSA 07-12; MOTOR 1.8L SENTRA 07-12,Q575.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,NISSAN,
320V6,BD126586,DISCO DELANTERO DE FRENOS 40206-9CE0B/ 40206-ZS60A,"NISSAN PATHFINDER 4WD 08-10, 5.8 11-12",Q601.00,4,4 JOEL,DISCOS DE FRENOS,WAGNER,NISSAN,
300V5,BD125695,DISCO DELANTERO DE FRENOS,JAGUAR S-TYPE 00-05,Q394.00,1,1 JOEL,DISCOS DE FRENOS,WAGNER,JAGUAR,
285V5,BD125724,DISCO TRASERO DE FRENOS,JAGUAR S-TYPE XJ8 00-06,Q277.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,JAGUAR,
302V5,BD126238,DISCO DELANTERO DE FRENOS,"MERCEDES BENZ ML320 98-02, 350 03-05, ML430 1999",Q856.00,10,10 JOEL,DISCOS DE FRENOS,WAGNER,MERCEDES BENZ,
331S5,BD126239,DISCO TRASERO DE FRENOS,"MERCEDES BENZ ML500 02-05, ML430-00-02, ML55 00-03",Q596.00,2,2 JOEL,DISCOS DE FRENOS,WAGNER,MERCEDES BENZ,
